CustomerID;RISK;Account Balance;Duration of Credit (month);Payment Status of Previous Credit;Purpose;Credit Amount;Value Savings/Stocks;Length of current employment;Instalment per cent;Sex & Marital Status;Guarantors;Duration in Current address;Most valuable available asset;Age (years);Concurrent Credits;Type of apartment;No of Credits at this Bank;Occupation;No of dependents;Telephone;Foreign Worker
10000001;1;1;18;4;2;1049;1;2;4;2;1;4;2;21;3;1;1;3;1;1;1
10000002;1;1;9;4;0;2799;1;3;2;3;1;2;1;36;3;1;2;3;2;1;1
10000003;1;2;12;2;9;841;2;4;2;2;1;4;1;23;3;1;1;2;1;1;1
10000004;1;1;12;4;0;2122;1;3;3;3;1;2;1;39;3;1;2;2;2;1;2
10000005;1;1;12;4;0;2171;1;3;4;3;1;4;2;38;1;2;2;2;1;1;2
10000006;1;1;10;4;0;2241;1;2;1;3;1;3;1;48;3;1;2;2;2;1;2
10000007;1;1;8;4;0;3398;1;4;1;3;1;4;1;39;3;2;2;2;1;1;2
10000008;1;1;6;4;0;1361;1;2;2;3;1;4;1;40;3;2;1;2;2;1;2
10000009;1;4;18;4;3;1098;1;1;4;2;1;4;3;65;3;2;2;1;1;1;1
1000010;1;2;24;2;3;3758;3;1;1;2;1;4;4;23;3;1;1;1;1;1;1
1000011;1;1;11;4;0;3905;1;3;2;3;1;2;1;36;3;1;2;3;2;1;1
1000012;1;1;30;4;1;6187;2;4;1;4;1;4;3;24;3;1;2;3;1;1;1
1000013;1;1;6;4;3;1957;1;4;1;2;1;4;3;31;3;2;1;3;1;1;1
1000014;1;2;48;3;10;7582;2;1;2;3;1;4;4;31;3;2;1;4;1;2;1
1000015;1;1;18;2;3;1936;5;4;2;4;1;4;3;23;3;1;2;2;1;1;1
1000016;1;1;6;2;3;2647;3;3;2;3;1;3;1;44;3;1;1;3;2;1;1
1000017;1;1;11;4;0;3939;1;3;1;3;1;2;1;40;3;2;2;2;2;1;1
1000018;1;2;18;2;3;3213;3;2;1;4;1;3;1;25;3;1;1;3;1;1;1
1000019;1;2;36;4;3;2337;1;5;4;3;1;4;1;36;3;2;1;3;1;1;1
1000020;1;4;11;4;0;7228;1;3;1;3;1;4;2;39;3;2;2;2;1;1;1
1000021;1;1;6;4;0;3676;1;3;1;3;1;3;1;37;3;1;3;3;2;1;1
1000022;1;2;12;4;0;3124;1;2;1;3;1;3;1;49;1;2;2;2;2;1;1
1000023;0;2;36;2;5;2384;1;2;4;3;1;1;4;33;3;1;1;2;1;1;1
1000024;1;2;12;4;4;1424;1;4;4;3;1;3;2;26;3;2;1;3;1;1;1
1000025;1;1;6;4;0;4716;5;2;1;3;1;3;1;44;3;2;2;2;2;1;1
1000026;1;2;11;3;3;4771;1;4;2;3;1;4;2;51;3;2;1;3;1;1;1
1000027;1;1;12;2;2;652;1;5;4;2;1;4;2;24;3;1;1;3;1;1;1
1000028;1;2;9;4;3;1154;1;5;2;3;1;4;1;37;3;2;3;2;1;1;1
